,CharacterName,WikiLink
855,Maria Hill,Maria Hill
856,Carol Hines,
857,Hindsight,Hindsight (comics)
858,Hippolyta,
859,Hiro-Kala,Hiro-Kala
860,Hiroim,Hiroim
861,Hit-Monkey,Hit-Monkey
862,Hitman,Hitman (Marvel Comics)
863,Toni Ho,Toni Ho
864,Anne Marie Hoag,Anne Marie Hoag
865,Hobgoblin,Hobgoblin (comics)
866,Hoder,
867,Cameron Hodge,Cameron Hodge
868,Happy Hogan,Happy Hogan (comics)
869,Jeryn Hogarth,Jeryn Hogarth
870,Hogun,Hogun
871,Holocaust,Holocaust (Marvel Comics)
872,Lilly Hollister,Menace (Marvel Comics)
873,Hollywood,Wonder Man#Guardians of the Galaxy
874,Honey Lemon,Honey Lemon
875,Hood,Hood (comics)
876,Hornet,Hornet (comics)
877,Phineas Horton,
878,Hoss,
879,Howard the Duck,Howard the Duck
880,George Howe,George Howe (comics)
881,Hrimhari,Hrimhari
882,Jimmy Hudson,Jimmy Hudson
883,Hugin and Munin,Hugin and Munin (Marvel Comics)
884,Hulk,Hulk|Bruce Banner (Marvel Cinematic Universe)
885,Hulk 2099,Hulk 2099
886,Hulk Robot,
887,Hulkling,Hulkling
888,Human Cannonball,Human Cannonball (Marvel Comics)
889,Human Fly,Human Fly (comics)
890,Human Top,Human Top (David Mitchell)
891,Human Torch,Human Torch (android)
892,Humbug,Humbug (comics)
893,Hummingbird,Hummingbird (comics)
894,Humus Sapien,Humus Sapien
895,Amber Hunt,
896,Huntara,Fantastic Force#Original team
897,Hunter,
898,Henrietta Hunter,Henrietta Hunter
899,Stevie Hunter,Stevie Hunter
900,Hunter in Darkness,
901,Hunter the White Wolf,
902,Huntsman,Huntsman (Cephalus)
903,Hurricane,Hurricane (comics)
904,Husk,Husk (comics)
905,Faiza Hussain,Faiza Hussain
906,Hussar,
907,Hybrid,Hybrid (Jimmy Marks)
908,Hydro-Man,Hydro-Man
909,Hyperion,Hyperion (comics)
910,Hyperstorm,
911,Hypno-Hustler,Hypno-Hustler
912,Hypnotia,Hypnotia
913,Icarus,
914,Iceman,Iceman (Marvel Comics)
915,Icemaster,
916,Idunn,Idunn (comics)
917,Ikaris,Ikaris
918,Ikthalon,
919,Immortus,Immortus
920,Impossible Man,Impossible Man
921,In-Betweener,In-Betweener
922,Indra,Indra (comics)
923,Inertia,Inertia (Marvel Comics)
924,Infectia,
925,Inferno,Inferno (Dante Pertuz)
926,Infinity,
927,Ink,Ink (comics)
928,Shola Inkosi,Shola Inkosi
929,Insect Queen,Petra Laskov
930,Interloper,
931,Invisible Woman,Invisible Woman
932,Ion,Ion (Marvel Comics)
933,Jason Ionello,
934,Iron Cross,Iron Cross (Marvel Comics)
935,Iron Fist,Iron Fist (comics)
936,Iron Lad,Iron Lad
937,Iron Man,Iron Man|Iron Man (Ultimate Marvel character)|Tony Stark (Marvel Cinematic Universe)
938,Iron Man 2020,Iron Man 2020
939,Iron Monger,Iron Monger
940,Iron Patriot,Iron Patriot
941,Ironclad,Ironclad (comics)
942,ISAAC,ISAAC (comics)
943,Isbisa,Isbisa
944,Iso,
945,It! The Living Colossus,It! The Living Colossus
946,J'son of Spartax,J'son (character)
947,J2,J2 (comics)
948,Jack Flag,Jack Flag
949,Jack Frost,Jack Frost (Marvel Comics)
950,Jack O'Lantern,Jack O'Lantern (Marvel Comics)
951,Jack of Hearts,Jack of Hearts (Marvel Comics)
952,Jackal,Jackal (Marvel Comics character)
953,Jackdaw,
954,Jackhammer,Jackhammer (comics)
955,Jackpot,Jackpot (Marvel Comics)
956,Brent Jackson,Brent Jackson
957,Jade Dragon,
958,Sajani Jaffrey,
959,J. Jonah Jameson,J. Jonah Jameson
960,John Jameson,John Jameson (comics)
961,Jann of the Jungle,Jann of the Jungle
962,Janus,Janus (Marvel Comics)
963,Jarella,Jarella
964,Jarvis,J.A.R.V.I.S.
965,Edwin Jarvis,Edwin Jarvis
966,Jerry Jaxon,Jerry Jaxon
967,Jazinda,Jazinda
968,Jester,Jester (Marvel Comics)
969,Jetstream,Jetstream (comics)
970,Jiang Li,
971,Jigsaw,Jigsaw (Marvel Comics)
972,Jimmy-6,Jimmy-6
973,Joan,Joan (comics)
974,Jocasta,Jocasta (comics)
975,John the Skrull,John the Skrull
976,Johnny Dee,Johnny Dee
977,Otis and Adina Johnson,
978,Otis Johnson Jr.,
979,Aikku Jokinen,
980,Jolen,Jolen (comics)
981,Jolt,
982,Charlotte Jones,Charlotte Jones (comics)
983,Gabe Jones,Gabe Jones
984,Hugh Jones,Hugh Jones (comics)
985,Jessica Jones,Jessica Jones
986,Piranha Jones,
987,Rick Jones,Rick Jones (comics)
988,Joseph,
989,Josiah X,
990,Joystick,
991,Jubilee,Jubilee (comics)
992,Jude the Entropic Man,Jude the Entropic Man
993,Juggernaut,Juggernaut (comics)
994,Junior Juniper,Junior Juniper
995,Junta,Junta (comics)
996,Justice,Justice (New Universe)
997,Kaecilius,Kaecilius
998,Elloe Kaifi,Elloe Kaifi
999,Kala,Kala (comics)
1000,Jennifer Kale,Jennifer Kale
1001,Noble Kale,Noble Kale
1002,Kaluu,Kaluu
1003,Kamikaze,Kamikaze (comics)
1004,Kamran,
1005,Garrison Kane,Garrison Kane
1006,Kang the Conqueror,Kang the Conqueror
1007,Kangaroo,Kangaroo (comics)
1008,Karkas,Karkas (comics)
1009,Karma,Karma (comics)
1010,Karn,
1011,Karnak,Karnak (comics)
1012,Karnilla,
1013,Vasily Karpov,
1014,Karthon the Quester,Karthon the Quester
1015,Kazann,
1016,Ka-Zar,Ka-Zar (David Rand)|Ka-Zar (Kevin Plunder)
1017,Robert Kelly,Robert Kelly (comics)
1018,Kelpie,
1019,Kestrel,Kestrel (Marvel Comics)
1020,Aamir Khan,
1021,Kamala Khan,Kamala Khan
1022,Muneeba Khan,
1023,Yusuf Khan,
1024,Khonshu,Khonshu (Marvel Comics)
1025,KIA,KIA (comics)
1026,Kiber the Cruel,Kiber the Cruel
1027,Kid Cassidy,Kid Cassidy
1028,Kid Colt,Kid Colt
1029,Kid Kaiju,Kid Kaiju
1030,Kid Omega,Kid Omega
1031,Killer Shrike,Killer Shrike
1032,Aldrich Killian,Aldrich Killian
1033,Erik Killmonger,Erik Killmonger
1034,Killpower,Killpower
1035,Killraven,Killraven
1036,Kimura,Kimura (comics)
1037,Kindred,Harry Osborn#Kindred
1038,Hannibal King,Hannibal King
1039,King Bedlam,King Bedlam
1040,Kingmaker,Kingmaker (comics)
1041,Kingpin,Kingpin (comics)
1042,Roderick Kingsley,Roderick Kingsley
1043,Kirigi,
1044,Kismet,Kismet (Marvel Comics)
1045,Kiwi Black,Kiwi Black
1046,Klaatu,Klaatu (comics)
1047,Klaw,Klaw (Marvel Comics)
1048,Kleinstocks,Kleinstocks
1049,Kly'bn,
1050,Misty Knight,Misty Knight
1051,Knull,Knull (comics)
1052,Amiko Kobayashi,
1053,Kobik,
1054,Eric Koenig,Eric Koenig
1055,Komodo,Komodo (comics)
1056,Korath the Pursuer,Korath the Pursuer
1057,Korg,Korg (comics)
1058,Korrek,Korrek
1059,Korvac,Korvac
1060,Korvus,Korvus (comics)
1061,Kraglin Obfonteri,Kraglin
1062,Kraken,Daniel Whitehall
1063,Krakoa,Krakoa
1064,Krang,Krang (Marvel Comics)
1065,Kraven the Hunter,Kraven the Hunter
1066,Simon Krieger,
1067,Kro,Kro (comics)
1068,Kronos,
1069,Krugarr,
1070,Krystalin,Krystalin
1071,Kubik,
1072,Shen Kuei,
1073,Kull,Kull (comics)
1074,Marduk Kurios,
1075,Kurse,
1076,Kylun,Kylun
1077,K'ythri,
1078,La Lunatica,La Lunatica
1079,Lacuna,Lacuna (comics)
1080,Lady Bullseye,Lady Bullseye
1081,Lady Deathstrike,Lady Deathstrike
1082,Lady Dorma,Lady Dorma
1083,Lady Grey,Lady Grey (comics)
1084,Lady Lark,
1085,Lady Lotus,Lady Lotus
1086,Lady Mastermind,Lady Mastermind
1087,Lady Octopus,Lady Octopus
1088,Lamprey,Lamprey (comics)
1089,Steven Lang,Steven Lang (comics)
1090,David Langford,
1091,Lasher,
1092,Laufey,Laufey (comics)
1093,Laughing Mask,
1094,Lauri-ell,
1095,Morgan le Fay,Morgan le Fay (Marvel Comics)
1096,Leader,Leader (comics)
1097,Leap-Frog,
1098,Leather Boy,
1099,Ganke Lee,
1100,Leech,Leech (comics)
1101,Ned Leeds,Ned Leeds
1102,Left Hand,
1103,Left-Winger,Left-Winger (comics)
1104,Prudence Leighton,Prudence Leighton
1105,Lei Kung,Lei Kung (comics)
1106,Leir,Leir (Marvel Comics)
1107,Harry Leland,Harry Leland
1108,Leo,Leo (comics)
1109,Leonus,
1110,Leper Queen,Leper Queen
1111,Letha,Letha (comics)
1112,Libra,Libra (Marvel Comics)
1113,Lifeform,Lifeform (comics)
1114,Lifeguard,Lifeguard (comics)
1115,Lightmaster,Lightmaster
1116,Tommy Lightning,Crusaders (Marvel Comics)
1117,Lightspeed,Julie Power
1118,Lilith,Lilith (Marvel Comics)
1119,Lionheart,Lionheart (comics)
1120,Litterbug,Litterbug (comics)
1121,Live Wire,
1122,Living Brain,Living Brain
1123,Living Diamond,
1124,Living Laser,Living Laser
1125,Living Lightning,Living Lightning
1126,Living Monolith,Living Monolith
1127,Living Tribunal,Living Tribunal
1128,Lizard,Lizard (comics)
1129,Llan the Sorcerer,
1130,Llyra,Llyra
1131,Llyron,
1132,Loa,Loa (comics)
1133,Maximus Lobo,Maximus Lobo
1134,Lobo Brothers,Lobo Brothers
1135,Lockheed,Lockheed (comics)
1136,Lockjaw,Lockjaw (comics)
1137,Locus,Locus (comics)
1138,Locust,Locust (comics)
1139,Lodestone,Lodestone (comics)
1140,Loki,Loki (Marvel Comics)|Loki (Marvel Cinematic Universe)
1141,Raza Longknife,Raza Longknife
1142,Longshot,Longshot (Marvel Comics)
1143,Lord Chaos,Lord Chaos (Marvel Comics)
1144,Lord Dark Wind,Lord Dark Wind
1145,Lord Deathstrike,Hellfire Club (comics)#Hellfire Academy
1146,Lord of Light,
1147,Andy Lorimer,Andy Lorimer
1148,Lorna the Jungle Girl,Lorna the Jungle Girl
1149,Lorelei,Lorelei (Mutate)
1150,Nancy Lu,Nancy Lu
1151,James Lucas,
1152,Lucifer,Lucifer (Marvel Comics)
1153,Lucy in the Sky,Karolina Dean
1154,Ludi,
1155,Luis,
1156,Aleksander Lukin,Aleksander Lukin
1157,Willie Lumpkin,Willie Lumpkin
1158,Luna Snow,
1159,Lunatik,Lunatik
1160,Lupo,Lupo (comics)
1161,Lurking Unknown,Lurking Unknown
1162,Lyja,Lyja
1163,Michael Lynch,
1164,Gideon Mace,Gideon Mace
1165,Jason Macendale,Jason Macendale
1166,Mach-VI,Abner Jenkins
1167,Machete,Machete (comics)
1168,Machine Man,Machine Man
1169,Machine Teen,Machine Teen
1170,Machinesmith,Machinesmith
1171,Al MacKenzie,Al MacKenzie
1172,Moira MacTaggart,Moira MacTaggart
1173,Mad Dog,Mad Dog (Marvel Comics)
1174,Mad Dog Rassitano,Mad Dog Rassitano
1175,Mad Jim Jaspers,
1176,Mad Thinker,Mad Thinker
1177,Madame Hydra,Madame Hydra
1178,Madame Masque,Madame Masque
1179,Madame Menace,Sunset Bain
1180,Madame Sanctity,
1181,Madame Web,Madame Web
1182,Madcap,Madcap (comics)
1183,Artie Maddicks,
1184,Madman,Madman (Marvel Comics)
1185,Maelstrom,Maelstrom (comics)
1186,Maestro,Maestro (comics)
1187,Maggott,Maggott
1188,Magician,Magician (comics)
1189,Magik,Magik (comics)
1190,Magique,Magique
1191,Magma,Magma (Jonathan Darque)
1192,Magneto,Magneto (Marvel Comics)
1193,Magnir,Enchanters Three
1194,Magnus the Sorcerer,
1195,Maha Yogi,
1196,Mahkizmo,Mahkizmo
1197,Brett Mahoney,Brett Mahoney
1198,Mahr Vehl,Mahr Vehl
1199,Mainframe,
1200,Major Liberty,
1201,Major Mapleleaf,Major Mapleleaf
1202,Maker,Maker (Reed Richards)
1203,Makkari,Makkari (comics)
1204,Malekith the Accursed,Malekith the Accursed
1205,Malice,Malice (comics)
1206,Karl Malus,Karl Malus
1207,Mammomax,Mammomax
1208,Man-Ape,Man-Ape
1209,Man-Beast,Man-Beast
1210,Man-Bull,Man-Bull
1211,Man-Eater,
1212,Man-Elephant,Man-Elephant
1213,Man-Killer,Man-Killer
1214,Man Mountain Marko,Man Mountain Marko
1215,Man-Spider,Spider-Man
1216,Man-Thing,Man-Thing
1217,Manbot,
1218,Victor Mancha,Victor Mancha
1219,Mandarin,Mandarin (comics)
1220,Mandrill,Mandrill (comics)
1221,Dino Manelli,Dino Manelli
1222,Mangler,
1223,Mangog,Mangog
1224,Manifold,Manifold (comics)
1225,Manikin,Manikin (comics)
1226,Manphibian,Manphibian
1227,Manslaughter,
1228,Manta,
1229,Mantis,Mantis (Marvel Comics)
1230,Anna Maria Marconi,Anna Maria Marconi
1231,Marrow,Marrow (comics)
1232,Truman Marsh,
1233,Simon Marshall,
1234,Martinex,Martinex
1235,Martyr,Phyla-Vell
1236,Marvel Boy,Marvel Boy (Robert Grayson)
1237,Marvelman,Marvelman
1238,Masacre,
1239,Masked Marauder,Masked Marauder
1240,Masked Raider,Masked Raider
1241,Masque,Masque (comics)
1242,Massacre,Massacre (Marvel Comics)
1243,Mass Master,Jack Power (Marvel Comics)
1244,Master Hate,
1245,Master Izo,Master Izo
1246,Master Khan,Master Khan
1247,Master Man,Master Man (Marvel Comics)|l1=Master Man
1248,Master Menace,Master Menace
1249,Mastermind Excello,
1250,Master Mold,Master Mold
1251,Master of the World,Master of the World (comics)|l1=Master of the World
1252,Master Order,
1253,Master Pandemonium,Master Pandemonium
1254,Mastermind,Mastermind (Jason Wyngarde)
1255,Alicia Masters,Alicia Masters
1256,Matador,Matador (Marvel Comics)
1257,Match,Match (Marvel Comics)
1258,Mathemaniac,Mathemanic
1259,Mauler,Mauler (comics)
1260,Maverick,David North (comics)
1261,Robert Maverick,Robert Maverick
1262,Ebony Maw,Ebony Maw
1263,Max,
1264,Maxam,
1265,Luna Maximoff,Luna Maximoff
1266,Maximus the Mad,Maximus (comics)
1267,Melinda May,Melinda May
1268,Mayhem,Mayhem (comics)
1269,Kenny McFarlane,Kenny McFarlane
1270,Tiny McKeever,
1271,Megan McLaren,
1272,Meanstreak,Meanstreak (comics)
1273,Medusa,Medusa (comics)
1274,Harold Meachum,Harold Meachum
1275,Joy Meachum,
1276,Ward Meachum,Ward Meachum
1277,Megatak,
1278,Meggan,Meggan (character)
1279,Seamus Mellencamp,Seamus Mellencamp
1280,Melter,Melter
1281,Menace,
1282,Donald Menken,
1283,Mentallo,Mentallo
1284,Mentor,Mentor (A'lars)
1285,Mephisto,Mephisto (comics)
1286,Mercurio the 4-D Man,Mercurio the 4-D Man
1287,Mercury,Mercury (Marvel Comics)
1288,Mercy,
1289,Merlin,Merlin (Marvel Comics)
1290,Merlyn,Merlyn (Marvel Comics)
1291,Irene Merryweather,Irene Merryweather
1292,Mesmero,Mesmero
1293,Metal Master,Metal Master (comics)
1294,Metalhead,Metalhead (comics)
1295,Meteorite,Karla Sofen
1296,Mettle,Mettle (comics)
1297,Lynn Michaels,Lynn Michaels
1298,Microbe,
1299,Microchip,Microchip (comics)
1300,Micromax,Micromax
1301,Midas,Midas (comics)
1302,Midgard Serpent,Midgard Serpent (comics)
1303,Midnight,
1304,Proxima Midnight,Proxima Midnight
1305,Midnight Sun,Midnight Sun (Marvel Comics)
1306,Midnight Fire,Midnight's Fire
1307,Miek,Miek
1308,Milan,Milan (comics)
1309,Jake Miller,
1310,Millie the Model,Millie the Model
1311,Mimic,Mimic (comics)
1312,Mimir,
1313,Mind-Wave,Mind-Wave
1314,Mindless Ones,Mindless Ones
1315,Mindworm,
1316,Nico Minoru,Nico Minoru
1317,Robert and Tina Minoru,Pride (comics)#The Minoru family
1318,Minotaur,Minotaur (comics)
1319,Miracle Man,Miracle Man
1320,Mirage,Mirage (Marvel Comics)
1321,Miss America,Miss America (Madeline Joyce)
1322,Miss Arrow,Miss Arrow
1323,Miss Patriot,
1324,Missing Link,Missing Link (comics)
1325,Mister E,
1326,Mister Fantastic,Mister Fantastic
1327,Mister Fear,Mister Fear
1328,Mister Fish,Mr. Fish
1329,Mister Gideon,Gamma Corps#First Gamma Corps
1330,Mister Hyde,Mister Hyde (comics)
1331,Mister Immortal,Mister Immortal
1332,Mister Jip,Mister Jip
1333,Mister M,Mister M (comics)
1334,Mister Negative,Mister Negative
1335,Mister Sensitive,Mister Sensitive
1336,Mister Sinister,Mister Sinister
1337,Mister X,Mister X (Marvel Comics)
1338,Mistress Love,
1339,Yorkie Mitchell,Yorkie Mitchell
1340,MJ,MJ (Marvel Cinematic Universe)
1341,Mockingbird,Mockingbird (Marvel Comics)
1342,MODAM,MODAM
1343,Max Modell,Max Modell
1344,MODOK,MODOK
1345,Modred the Mystic,Modred the Mystic
1346,Modular Man,Modular Man
1347,Mogul of the Mystic Mountain,
1348,Mojo,Mojo (comics)
1349,Mole Man,Mole Man
1350,Molecule Man,Molecule Man
1351,Molten Man,Molten Man
1352,Mondo,
1353,Mongoose,Mongoose (comics)
1354,Monkey Joe,
1355,Alison Mongrain,
1356,Monsteroso,Monsteroso
1357,Montana,Montana (comics)
1358,Moon-Boy,Moon-Boy
1359,Moondark,
1360,Moondragon,Moondragon
1361,Moon Girl,Moon Girl (Marvel Comics)
1362,Moonglow,Moonglow (comics)
1363,Moonhunter,
1364,Moon Knight,Moon Knight
1365,Danielle Moonstar,Danielle Moonstar
1366,Moonstone,Lloyd Bloch
1367,Miles Morales,Spider-Man (Miles Morales)
1368,Rio Morales,
1369,"Morbius, the Living Vampire","Morbius, the Living Vampire"
1370,Mordred,Mordred (comics)
1371,David Moreau,David Moreau
1372,Morg,MOR103
1373,Jim Morita,Jim Morita
1374,Morlun,Morlun
1375,Morning Star,Morning Star (comics)
1376,Morph,Morph (comics)
1377,Morpheus,Morpheus (Marvel Comics)
1378,Morrat,Morrat
1379,Eli Morrow,
1380,Mortis,Lois London
1381,Moses Magnum,
1382,Mother Night,Mother Night (comics)
1383,Motormouth,Motormouth (comics)
1384,Mountjoy,Mountjoy (comics)
1385,Moving Shadow,
1386,Alyssa Moy,Alyssa Moy
1387,Ms. Marvel,Ms. Marvel
1388,Ms. Thing,
1389,Multiple Man,Jamie Madrox
1390,Jack Murdock,Jack Murdock (comics)
1391,Maggie Murdock,Maggie Murdock
1392,Matt Murdock,Daredevil (Marvel Comics character)|Kingpin (Matt Murdock)
1393,Mike Murdock,Mike Murdock
1394,Murmur,Murmur (Marvel Comics)
1395,Mutant Master,
1396,Junzo Muto,Junzo Muto
1397,Mysterio(n),Mysterio
1398,Mystique,Mystique (comics)
1399,N'astirh,N'astirh
1400,N'Garai,N'Garai
1401,"N'Kantu, the Living Mummy","N'Kantu, the Living Mummy"
1402,Naga,Naga (Marvel Comics)
1403,Nahrees,Nahrees (comics)
1404,Namor the Sub-Mariner,Namor the Sub-Mariner
1405,Namora,Namora
1406,Namorita,Namorita
1407,Native,Native (comics)
1408,Nebula,Nebula (comics)
1409,Network,
1410,Neutron,
1411,Nezarr the Calculator,
1412,NFL SuperPro,NFL SuperPro
1413,Night Nurse,Night Nurse (comics)
1414,Night Thrasher,Night Thrasher (Dwayne Taylor)
1415,Nightcrawler,Nightcrawler (comics)
1416,Nighthawk,Nighthawk (Marvel Comics)
1417,Nightmare,Nightmare (Marvel Comics)
1418,Nightmask,Nightmask
1419,Nightshade,Nightshade (Marvel Comics)
1420,Nightside,Nightside (comics)
1421,Nightwatch,Nightwatch (comics)
1422,Nikki,Nikki (comics)
1423,Emil Nikos,
1424,Tana Nile,Tana Nile
1425,Nimrod,Nimrod (comics)
1426,Nitro,Nitro (comics)
1427,Kiden Nixon,Kiden Nixon
1428,No-Girl,
1429,No-Name,No-Name
1430,Nocturne,Nocturne (Talia Wagner)
1431,Nomad,Nomad (comics)
1432,Dakota North,Dakota North (comics)
1433,Northstar,Northstar (Marvel Comics)
1434,Nova,Nova (Frankie Raye)
1435,Cassandra Nova,Cassandra Nova
1436,Nth Man,Nth Man
1437,Nuke,Nuke (Marvel Comics)
1438,Nuklo,Nuklo
1439,Numinus,
1440,Nyx,
1441,Randy O'Brien,Randy O'Brien
1442,Blackjack O'Hare,
1443,Alfie O'Meggan,Alfie O'Meggan
1444,Seymour O'Reilly,
1445,Solomon O'Sullivan,Solomon O'Sullivan
1446,Obituary,Obituary (comics)
1447,Obliterator,Obliterator (comics)
1448,Oblivion,
1449,Obnoxio the Clown,Obnoxio the Clown
1450,Occulus,Occulus
1451,Ocean,Ocean (Marvel Comics)
1452,Ocelot,Ocelot (comics)
1453,Oddball,Oddball (comics)
1454,Odin,Odin (comics)
1455,Aleta Ogord,Aleta Ogord
1456,Ogre,Ogre (Marvel Comics)
1457,Ogress,Ogress (comics)
1458,Okoye,
1459,Old Lace,Old Lace (comics)
1460,Old Man Logan,Old Man Logan
1461,Omega,Omega (Marvel Comics)
1462,Omega Red,Omega Red
1463,Omega the Unknown,Omega the Unknown
1464,Omerta,Paulie Provenzano
1465,One Above All,
1466,One Below All,
1467,Onyxx,Onyxx
1468,Ooze,Ooze (comics)
1469,Opal Tanaka,
1470,Opsidian,Gene Nation
1471,Optoman,Optoman
1472,Oracle,Oracle (Marvel Comics)
1473,Orator,Orator (comics)
1474,Orb,Orb (comics)
1475,Orbit,Orbit (comics)
1476,Orchid,Orchid (comics)
1477,Ord,Ord (comics)
1478,Orka,Orka (comics)
1479,Orphan,Orphan (Marvel Comics)
1480,Orphan-Maker,Orphan-Maker
1481,Orrgo,Orrgo
1482,Ismael Ortega,Ismael Ortega
1483,Emily Osborn,
1484,Harry Osborn,Harry Osborn|Harry Osborn (Sam Raimi film series)
1485,Norman Osborn,Norman Osborn|Norman Osborn (Sam Raimi film series)
1486,Normie Osborn,Normie Osborn
1487,Oshtur,Oshtur
1488,Osiris,Osiris (Marvel Comics)
1489,Otomo,Otomo (comics)
1490,Outlaw,Outlaw (comics)
1491,Outlaw Kid,Outlaw Kid
1492,Overdrive,Overdrive (comics)
1493,Overkill,Overkill (comics)
1494,Overmind,Overmind (comics)
1495,Ozone,Ozone (comics)
1496,Owl,Owl (Marvel Comics)
1497,Ox,Ox (comics)
1498,Oya,Oya (comics)
1499,Ozymandias,
1500,Karen Page,Karen Page
1501,Doctor Paine,
1502,Paladin,Paladin (comics)
1503,Pandemic,Pandemic (comics)
1504,Paradigm,Paradigm (comics character)
1505,Paris,Paris (Marvel Comics)
1506,Benjy Parker,Benjamin Richard Parker
1507,Ben Parker,Uncle Ben
1508,Kaine Parker,Kaine Parker
1509,Richard and Mary Parker,Richard and Mary Parker
1510,Teresa Parker,
1511,Pasco,Pasco (comics)
1512,Pathway,
1513,Patriot,Patriot (comics)
1514,Peepers,Peepers (Marvel Comics)
1515,Penance,Penance (X-Men)
1516,Peregrine,Peregrine (comics)
1517,Persuasion,Persuasion (comics)
1518,Perun,Perun (comics)
1519,Pestilence,Pestilence (comics)
1520,Petra,
1521,Mike Peterson,Deathlok (Michael Peterson)
1522,Phage,
1523,Phantazia,Phantazia
1524,Phantom Eagle,Phantom Eagle
1525,Phantom Reporter,Phantom Reporter
1526,Phantom Rider,Phantom Rider
1527,Phaser,Phaser (comics)
1528,Phastos,Phastos
1529,Phat,Phat (comics)
1530,Chester Phillips,
1531,Phobos,Phobos (Marvel Comics)
1532,Phone Ranger,Phone Ranger
1533,Piecemeal,Proteus (Marvel Comics)#Piecemeal
1534,Alexander Goodwin Pierce,Alexander Goodwin Pierce
1535,Donald Pierce,Donald Pierce
1536,Piledriver,Piledriver (comics)
1537,Pink Pearl,Pink Pearl (comics)
1538,Pinky Pinkerton,Pinky Pinkerton
1539,Pip the Troll,Pip the Troll
1540,Pipeline,Pipeline (comics)
1541,Piranha,Piranha (comics)
1542,Pisces,Pisces (comics)
1543,Pixie,Pixie (X-Men)
1544,Plague,
1545,Plantman,Plantman
1546,Plunderer,Plunderer (comics)
1547,Pluto,Pluto (Marvel Comics)
1548,Pod,Pod (comics)
1549,Poison,
1550,Polestar,Polestar (comics)
1551,Porcupine,Porcupine (comics)
1552,Portal,Portal (comics)
1553,Possessor,Possessor (comics)
1554,Post,
1555,Postman,Postman (comics)
1556,Pepper Potts,Pepper Potts
1557,Poundcakes,Poundcakes
1558,Malcolm Powder,
1559,Powderkeg,Powderkeg (character)
1560,Power Broker,Power Broker (character)
1561,Power Man,Power Man (Victor Alvarez)
1562,Power Princess,Power Princess
1563,Powerhouse,Powerhouse (comics)
1564,Predator X,Predator X (Marvel Comics)
1565,Presence,
1566,Prester John,Prester John (comics)
1567,Pretty Boy,Pretty Boy (comics)
1568,Pretty Persuasions,Pretty Persuasions
1569,Preview,Preview (comics)
1570,Primus,Primus (Marvel Comics)
1571,Princess Python,Princess Python
1572,Prism,Prism (comics)
1573,Proctor,Proctor (comics)
1574,Prodigy,Prodigy (Ritchie Gilmore)
1575,Professor Power,Professor Power
1576,Professor Thornton,Professor Thornton
1577,The Profile,The Profile
1578,Prometheus,Prometheus (Marvel Comics)
1579,Protector,
1580,Proteus,Proteus (Marvel Comics)
1581,Protégé,
1582,Protocide,Protocide
1583,Prowler,Prowler (Marvel Comics)
1584,Kitty Pryde,Kitty Pryde
1585,Madelyne Pryor,Madelyne Pryor
1586,Psi-Hawk,Psi-Hawk
1587,Psycho-Man,Psycho-Man
1588,Psyklop,Psyklop
1589,Psylocke (Betsy Braddock),Betsy Braddock
1590,Psylocke (Kwannon),Kwannon (character)
1591,Puck,Puck (Marvel Comics)
1592,Puff Adder,Puff Adder (comics)
1593,Pulsar,Pulsar (Marvel Comics)
1594,Pulse,Pulse (Augustus)
1595,Puma,Puma (comics)
1596,Punchout,Punchout (comics)
1597,Punisher,Punisher
1598,Punisher 2099,Punisher 2099
1599,Puppet Master,Puppet Master (Marvel Comics)
1600,Purple Man,Purple Man
1601,Henry Pym,Henry Pym
1602,Hope Pym,Hope Pym
1603,Pyre,Pyre (comics)
1604,Pyro,Pyro (Marvel Comics)
1605,Quagmire,
1606,Quake,Daisy Johnson
1607,Clay Quartermain,Clay Quartermain
1608,Quasar,Quasar (comics)
1609,Quasimodo,
1610,Queen,
1611,Quicksand,
1612,Quicksilver,Quicksilver (comics)
1613,Quill,
1614,Meredith Quill,
1615,Raa of the Caves,Raa of the Caves
1616,Holden Radcliffe,Holden Radcliffe
1617,Radioactive Man,Radioactive Man (comics)
1618,Radius,Radius (comics)
1619,Irani Rael,
1620,Rage,Rage (comics)
1621,Ragnarok,Ragnarok (comics)
1622,Tamara Rahn,Tamara Rahn
1623,Raiders,Raiders (comics)
1624,Raina,
1625,Rajah,
1626,Rakkus,Rakkus
1627,Rebel Ralston,Rebel Ralston
1628,Ramonda,
1629,Rampage,Rampage (Marvel Comics)
1630,Ramrod,
1631,Ramshot,
1632,Rancor,
1633,Random,Random (comics)
1634,Ransak the Reject,
1635,Kavita Rao,Kavita Rao
1636,Monica Rappaccini,Monica Rappaccini
1637,Raptor,
1638,Mikhail Rasputin,Mikhail Rasputin
1639,Rattler,Rattler (comics)
1640,Ravage,Ravage (Marvel Comics)
1641,Ravage 2099,Ravage 2099
1642,Ravonna,Ravonna
1643,Rawhide Kid,Rawhide Kid
1644,Raza,
1645,Razor Fist,Razor Fist
1646,Razorback,Razorback (comics)
1647,Reaper,
1648,Recorder 451,Recorder 451
1649,Red Barbarian,Red Barbarian
1650,Red Dagger,
1651,Red Ghost,Red Ghost (character)
1652,Red Guardian,Red Guardian
1653,Red King,
1654,Red Lotus,
1655,Red Hulk,Red Hulk
1656,Red Nine,Red Nine
1657,Red Raven,Red Raven (Marvel Comics)
