,CharacterName,WikiLink,universe,woman,man,good,bad
447,Fixx,Fixx (Marvel comics),Marvel,0,0,0,0
448,Fixer,Fixer (comics),Marvel,0,0,0,1
449,Flag-Smasher,Flag-Smasher,Marvel,0,0,0,0
450,Flashback,Flashback (comics),Marvel,0,0,0,0
451,Flatman,Flatman (comics),Marvel,0,0,0,0
452,Flex,Flex (comics),Marvel,0,1,1,0
453,Flipside,Flipside (comics),Marvel,0,0,0,0
454,Sally Floyd,Sally Floyd (comics),Marvel,0,0,0,0
455,Flux,Flux (comics),Marvel,0,0,0,0
456,Flying Tiger,Flying Tiger (Marvel Comics),Marvel,0,0,0,0
457,Mickey Fondozzi,Mickey Fondozzi,Marvel,0,0,0,0
458,Foolkiller,Foolkiller,Marvel,0,0,0,0
459,Forbush Man,Forbush Man,Marvel,0,1,1,0
460,Force,Force (comics),Marvel,0,0,0,0
461,Forearm,Forearm (comics),Marvel,0,0,0,0
462,Foreigner,Foreigner (comics),Marvel,0,0,0,0
463,Forge,Forge (comics),Marvel,0,0,1,0
464,Lee Forrester,Lee Forrester,Marvel,0,0,0,0
465,Forgotten One,Forgotten One (comics),Marvel,0,0,0,0
466,Don Fortunato,Don Fortunato,Marvel,0,0,0,0
467,Dominic Fortune,Dominic Fortune,Marvel,0,0,0,0
468,Jane Foster,Jane Foster (comics),Marvel,1,0,1,0
469,Frederick Foswell,Frederick Foswell,Marvel,0,1,0,1
470,Foxbat,Foxbat (comics),Marvel,0,0,0,0
471,Foxfire,Foxfire (comics),Marvel,0,0,0,1
472,Frankenstein's Monster,Frankenstein's Monster (Marvel Comics),Marvel,0,1,1,0
473,Freak,Freak (Marvel Comics),Marvel,0,0,0,0
474,Freakshow,Freakshow (comics),Marvel,0,1,1,0
475,Free Spirit,Free Spirit (comics),Marvel,0,0,0,0
476,Freedom Ring,Freedom Ring,Marvel,0,1,1,0
477,Spike Freeman,Spike Freeman,Marvel,0,0,0,0
478,Frenchie,Frenchie (comics),Marvel,0,0,0,0
479,Frenzy,Frenzy (comics),Marvel,1,0,0,1
480,Freya,Freya (comics),Marvel,0,0,0,0
481,Friday,F.R.I.D.A.Y.,Marvel,0,0,0,0
482,Friction,Friction (comics),Marvel,0,0,0,0
483,Sharon Friedlander,Sharon Friedlander,Marvel,0,0,0,0
484,Frigga,Frigga (Marvel Comics),Marvel,1,0,1,0
485,Frog-Man,Frog-Man,Marvel,0,0,0,0
486,Adrienne Frost,Adrienne Frost,Marvel,1,0,0,1
487,Deacon Frost,Deacon Frost,Marvel,0,0,0,0
488,Emma Frost,Emma Frost,Marvel,1,0,0,1
489,Rumiko Fujikawa,Rumiko Fujikawa,Marvel,0,0,0,0
490,Fury,Fury (Marvel Comics),Marvel,0,0,0,0
491,Jake Fury,Jake Fury,Marvel,0,0,0,0
492,Mikel Fury,Mikel Fury,Marvel,0,0,0,0
493,Nick Fury,Nick Fury|Nick Fury (Ultimate Marvel character)|Nick Fury (Marvel Cinematic Universe),Marvel,0,1,1,0
494,Nick Fury Jr.,Nick Fury Jr.,Marvel,0,0,0,0
495,Vernon Fury,Vernon Fury,Marvel,0,0,0,0
496,Fusion,Fusion (Marvel Comics),Marvel,0,0,0,0
497,Futurist,Futurist (comics),Marvel,0,0,0,0
498,Galactus,Galactus,Marvel,0,1,0,0
499,Gambit,Gambit (Marvel Comics),Marvel,0,1,1,0
500,Gamesmaster,Gamesmaster (comics),Marvel,0,0,0,0
501,Gamora,Gamora,Marvel,1,0,1,0
502,Gardener,Gardener (comics),Marvel,0,0,0,0
503,Gargantua,Gargantua (comics),Marvel,0,0,0,0
504,Gargoyle,Gargoyle (comics),Marvel,0,0,0,0
505,Garokk,Garokk,Marvel,0,0,0,0
506,Jeffrey Garrett,Jeffrey Garrett,Marvel,0,0,0,0
507,John Garrett,John Garrett (comics),Marvel,0,0,0,0
508,Gatecrasher,Gatecrasher (Marvel Comics),Marvel,0,0,0,0
509,Gateway,Gateway (comics),Marvel,0,0,0,0
510,Kulan Gath,Kulan Gath,Marvel,0,0,0,0
511,Gauntlet,Gauntlet (comics),Marvel,0,0,0,0
512,Gavel,Gavel (comics),Marvel,0,0,0,0
513,Gazelle,Salem's Seven,Marvel,0,0,0,0
514,Geiger,Geiger (comics),Marvel,0,0,0,0
515,Gemini,Gemini (Marvel Comics),Marvel,0,0,0,0
516,Genesis,Genesis (Marvel Comics),Marvel,0,1,1,0
517,Genis-Vell,Genis-Vell,Marvel,0,0,0,0
518,Gentle,Gentle (comics),Marvel,0,0,0,0
519,Ghaur,Ghaur,Marvel,0,0,0,0
520,Ghost,Ghost (Marvel Comics),Marvel,0,0,0,0
521,Ghost Rider,Ghost Rider,Marvel,0,1,1,0
522,Ghost Rider 2099,Ghost Rider 2099,Marvel,0,0,0,0
523,Giant-Man,Giant-Man,Marvel,0,1,1,0
524,Gibbon,Gibbon (comics),Marvel,0,0,0,0
525,Gibborim,Gibborim (comics),Marvel,0,0,0,0
526,Gideon,Gideon (comics),Marvel,0,0,0,0
527,Giganto,Giganto,Marvel,0,0,0,0
528,Gigantus,Gigantus,Marvel,0,0,0,0
529,Gladiator,Gladiator (Melvin Potter),Marvel,0,1,0,1
530,Gladiatrix,Gladiatrix (comics),Marvel,0,0,0,0
531,Corvus Glaive,Corvus Glaive,Marvel,0,1,0,1
532,Glob,Glob (comics),Marvel,0,0,0,0
533,Glorian,Glorian,Marvel,0,0,0,0
534,Ma Gnucci,Ma Gnucci,Marvel,0,0,0,0
535,GoGo Tomago,GoGo Tomago,Marvel,0,0,1,0
536,Goddess,Goddess (comics),Marvel,0,0,0,0
537,Godzilla,"Godzilla, King of the Monsters (comic book)",Marvel,0,0,0,1
538,Golddigger,Femizons#Members,Marvel,0,0,0,0
539,Golden Girl,Betsy Ross (comics),Marvel,0,0,0,0
540,Golem,Golem (comics),Marvel,0,0,0,0
541,Goliath,Goliath (Marvel Comics),Marvel,0,1,1,0
542,Vin Gonzales,Vin Gonzales,Marvel,0,0,0,0
543,Goom,Goom,Marvel,0,0,0,0
544,Gorgilla,Gorgilla,Marvel,0,0,0,0
545,Gorgolla,Gorgolla,Marvel,0,0,0,0
546,Gorgon,Gorgon (Inhuman),Marvel,0,0,0,0
547,Delphyne Gorgon,Delphyne Gorgon,Marvel,1,0,0,1
548,Gorilla Girl,Gorilla Girl,Marvel,0,0,0,0
549,Gorilla-Man,Gorilla-Man,Marvel,0,1,1,0
550,Gorr the God Butcher,Gorr the God Butcher,Marvel,0,1,0,1
551,Gorr the Golden Gorilla,Gorr the Golden Gorilla,Marvel,0,0,0,0
552,Grand Director,Grand Director,Marvel,0,0,0,0
553,Glory Grant,Glory Grant,Marvel,0,0,0,0
554,Grasshopper,Grasshopper (comics),Marvel,0,0,0,0
555,Graviton,Graviton (comics),Marvel,0,1,0,1
556,Gravity,Gravity (comics),Marvel,0,1,1,0
557,Graymalkin,Graymalkin,Marvel,0,0,0,0
558,Green Goblin,Green Goblin|Green Goblin (Ultimate Marvel character),Marvel,0,1,0,1
559,Grey Gargoyle,Grey Gargoyle,Marvel,0,0,0,0
560,Jean Grey,Jean Grey,Marvel,1,0,1,0
561,Griffin,Griffin (Marvel Comics),Marvel,0,1,0,1
562,David Griffith,David Griffith (comics),Marvel,0,0,0,0
563,Grim Hunter,Grim Hunter,Marvel,0,0,0,0
564,Grim Reaper,Grim Reaper (comics),Marvel,0,0,0,0
565,Grindhouse,Grindhouse (comics),Marvel,0,0,0,0
566,Grizzly,Grizzly (comics),Marvel,0,1,0,1
567,Grog,Grog (Marvel Comics),Marvel,0,0,0,0
568,Groot,Groot,Marvel,0,1,1,0
569,Guardian,Guardian (Marvel Comics),Marvel,0,1,1,0
570,Guardsman,Guardsman (comics),Marvel,0,0,0,0
571,Jebediah Guthrie,Jebediah Guthrie,Marvel,0,0,0,0
572,Henry Peter Gyrich,Henry Peter Gyrich,Marvel,0,0,0,0
573,Gwenpool,Gwenpool,Marvel,0,0,0,0
574,Hala the Accuser,Hala the Accuser,Marvel,0,0,0,0
575,Tadashi Hamada,Tadashi Hamada,Marvel,0,0,0,0
576,Cockroach Hamilton,Cockroach Hamilton,Marvel,0,1,0,1
577,Justin Hammer,Justin Hammer,Marvel,0,1,0,1
578,Hammerhead,Hammerhead (comics),Marvel,0,0,0,0
579,Victoria Hand,Victoria Hand (comics),Marvel,0,0,0,0
580,Maya Hansen,Maya Hansen,Marvel,0,0,0,0
581,Hardball,Hardball (comics),Marvel,0,0,0,0
582,Hardshell,Leila Davis,Marvel,0,0,0,0
583,Felicity Hardy,Felicity Hardy,Marvel,0,0,0,0
584,Hargen the Measurer,Celestials (comics)#Members,Marvel,0,0,0,0
585,Agatha Harkness,Agatha Harkness,Marvel,0,0,0,0
586,Harpoon,Marauders (comics),Marvel,0,0,0,0
587,Harrier,Harrier (comics),Marvel,0,0,0,0
588,Stephanie Harrington,DP 7#Main characters,Marvel,0,0,0,0
589,Jonas Harrow,Jonas Harrow,Marvel,0,1,0,1
590,Hate-Monger,Hate-Monger,Marvel,0,0,0,0
591,Hauptmann Deutschland (Captain Germany),Hauptmann Deutschland,Marvel,0,0,0,0
592,Havok,Havok (comics),Marvel,0,1,1,0
593,Hawkeye,Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Marvel,0,1,1,0
594,Gene and Alice Hayes,Pride (comics)#The Hayes family,Marvel,0,0,0,0
595,Haywire,Haywire (comics),Marvel,0,0,0,0
596,Mark Hazzard,Mark Hazzard: Merc,Marvel,0,0,0,0
597,Headlok,Headlok,Marvel,0,0,0,0
598,Headsman,Headsman (comics),Marvel,0,1,0,1
599,Hebe,Hebe (Marvel Comics),Marvel,0,0,0,0
600,Hecate,Hecate (Marvel Comics),Marvel,0,0,0,0
601,Hector,Hector (Pantheon),Marvel,0,0,0,0
602,Heimdall,Heimdall (comics),Marvel,0,0,0,0
603,Hela,Hela (comics),Marvel,1,0,0,1
604,Helix,Helix (Marvel Comics),Marvel,0,0,0,0
605,Hellcat,Patsy Walker,Marvel,1,0,1,0
606,Hellcow,Hellcow,Marvel,0,0,0,0
607,Hellfire,Hellfire (J.T. Slade),Marvel,0,0,0,0
608,Hellion,Hellion (comics),Marvel,0,0,0,0
609,Hellrazor,Hellrazor,Marvel,0,0,0,0
610,Daimon Hellstrom,Daimon Hellstrom,Marvel,0,1,1,0
611,Hepzibah,Hepzibah (comics),Marvel,0,0,0,0
612,H.E.R.B.I.E.,H.E.R.B.I.E.,Marvel,0,0,0,0
613,Hercules,Hercules (Marvel Comics),Marvel,0,1,1,0
614,Gregory Herd,Gregory Herd,Marvel,0,0,0,0
615,Hermes,Hermes (Marvel Comics),Marvel,0,0,0,0
616,Hermod,Hermod (comics),Marvel,0,0,0,0
617,Hex,Hex (Marvel Comics),Marvel,0,0,0,0
618,High Evolutionary,High Evolutionary,Marvel,0,1,0,1
619,Hijacker,Hijacker (comics),Marvel,0,1,0,1
620,Maria Hill,Maria Hill,Marvel,0,0,0,0
621,Hindsight,Hindsight (comics),Marvel,0,0,0,0
622,Hiro-Kala,Hiro-Kala,Marvel,0,0,0,0
623,Hiroim,Hiroim,Marvel,0,1,1,0
624,Hit-Monkey,Hit-Monkey,Marvel,0,0,0,0
625,Hitman,Hitman (Marvel Comics),Marvel,0,0,0,0
626,Toni Ho,Toni Ho,Marvel,0,0,0,0
627,Anne Marie Hoag,Anne Marie Hoag,Marvel,0,0,0,0
628,Hobgoblin,Hobgoblin (comics),Marvel,0,1,0,1
629,Cameron Hodge,Cameron Hodge,Marvel,0,1,0,1
630,Happy Hogan,Happy Hogan (comics),Marvel,0,0,0,0
631,Jeryn Hogarth,Jeryn Hogarth,Marvel,0,0,0,0
632,Hogun,Hogun,Marvel,0,0,0,0
633,Holocaust,Holocaust (Marvel Comics),Marvel,0,0,0,0
634,Lilly Hollister,Menace (Marvel Comics),Marvel,0,0,0,0
635,Hollywood,Wonder Man#Guardians of the Galaxy,Marvel,0,0,0,0
636,Honey Lemon,Honey Lemon,Marvel,0,0,0,0
637,Hood,Hood (comics),Marvel,0,0,0,0
638,Hornet,Hornet (comics),Marvel,0,0,0,0
639,Howard the Duck,Howard the Duck,Marvel,0,1,1,0
640,George Howe,George Howe (comics),Marvel,0,0,0,0
641,Hrimhari,Hrimhari,Marvel,0,1,1,0
642,Jimmy Hudson,Jimmy Hudson,Marvel,0,0,0,0
643,Hugin and Munin,Hugin and Munin (Marvel Comics),Marvel,0,0,0,0
644,Hulk,Hulk|Bruce Banner (Marvel Cinematic Universe),Marvel,0,1,1,0
645,Hulk 2099,Hulk 2099,Marvel,0,1,1,0
646,Hulkling,Hulkling,Marvel,0,1,1,0
647,Human Cannonball,Human Cannonball (Marvel Comics),Marvel,0,0,0,0
648,Human Fly,Human Fly (comics),Marvel,0,1,0,1
649,Human Top,Human Top (David Mitchell),Marvel,0,0,0,0
650,Human Torch,Human Torch (android),Marvel,0,1,1,0
651,Humbug,Humbug (comics),Marvel,0,0,0,0
652,Hummingbird,Hummingbird (comics),Marvel,0,0,0,0
653,Humus Sapien,Humus Sapien,Marvel,0,0,0,0
654,Huntara,Fantastic Force#Original team,Marvel,0,0,0,0
655,Henrietta Hunter,Henrietta Hunter,Marvel,0,0,0,0
656,Stevie Hunter,Stevie Hunter,Marvel,0,0,0,0
657,Huntsman,Huntsman (Cephalus),Marvel,0,0,0,0
658,Hurricane,Hurricane (comics),Marvel,0,0,0,0
659,Husk,Husk (comics),Marvel,1,0,1,0
660,Faiza Hussain,Faiza Hussain,Marvel,0,0,1,0
661,Hybrid,Hybrid (Jimmy Marks),Marvel,0,1,0,1
662,Hydro-Man,Hydro-Man,Marvel,0,1,0,1
663,Hyperion,Hyperion (comics),Marvel,0,1,1,0
664,Hypno-Hustler,Hypno-Hustler,Marvel,0,1,0,1
665,Hypnotia,Hypnotia,Marvel,0,0,0,0
666,Iceman,Iceman (Marvel Comics),Marvel,0,1,1,0
667,Idunn,Idunn (comics),Marvel,0,0,0,0
668,Ikaris,Ikaris,Marvel,0,0,0,0
669,Immortus,Immortus,Marvel,0,1,0,1
670,Impossible Man,Impossible Man,Marvel,0,0,0,0
671,In-Betweener,In-Betweener,Marvel,0,0,0,0
672,Indra,Indra (comics),Marvel,0,1,1,0
673,Inertia,Inertia (Marvel Comics),Marvel,0,0,0,0
674,Inferno,Inferno (Dante Pertuz),Marvel,0,0,0,0
675,Ink,Ink (comics),Marvel,0,1,1,0
676,Shola Inkosi,Shola Inkosi,Marvel,0,0,1,0
677,Insect Queen,Petra Laskov,Marvel,0,0,0,0
678,Invisible Woman,Invisible Woman,Marvel,1,0,1,0
679,Ion,Ion (Marvel Comics),Marvel,0,0,0,0
680,Iron Cross,Iron Cross (Marvel Comics),Marvel,0,0,0,0
681,Iron Fist,Iron Fist (comics),Marvel,0,1,1,0
682,Iron Lad,Iron Lad,Marvel,0,1,1,0
683,Iron Man,Iron Man|Iron Man (Ultimate Marvel character)|Tony Stark (Marvel Cinematic Universe),Marvel,0,1,1,0
684,Iron Man 2020,Iron Man 2020,Marvel,0,0,0,0
685,Iron Monger,Iron Monger,Marvel,0,1,0,1
686,Iron Patriot,Iron Patriot,Marvel,0,0,0,0
687,Ironclad,Ironclad (comics),Marvel,0,0,0,0
688,ISAAC,ISAAC (comics),Marvel,0,0,0,0
689,Isbisa,Isbisa,Marvel,0,1,0,1
690,It! The Living Colossus,It! The Living Colossus,Marvel,0,0,0,0
691,J'son of Spartax,J'son (character),Marvel,0,0,0,0
692,J2,J2 (comics),Marvel,0,0,0,0
693,Jack Flag,Jack Flag,Marvel,0,0,0,0
694,Jack Frost,Jack Frost (Marvel Comics),Marvel,0,1,1,0
695,Jack O'Lantern,Jack O'Lantern (Marvel Comics),Marvel,0,1,0,1
696,Jack of Hearts,Jack of Hearts (Marvel Comics),Marvel,0,1,1,0
697,Jackal,Jackal (Marvel Comics character),Marvel,0,0,0,0
698,Jackhammer,Jackhammer (comics),Marvel,0,0,0,0
699,Jackpot,Jackpot (Marvel Comics),Marvel,0,0,0,0
700,Brent Jackson,Brent Jackson,Marvel,0,0,0,0
701,J. Jonah Jameson,J. Jonah Jameson,Marvel,0,0,0,0
702,John Jameson,John Jameson (comics),Marvel,0,0,0,0
703,Jann of the Jungle,Jann of the Jungle,Marvel,1,0,1,0
704,Janus,Janus (Marvel Comics),Marvel,0,0,0,0
705,Jarella,Jarella,Marvel,0,0,0,0
706,Jarvis,J.A.R.V.I.S.,Marvel,0,0,0,0
707,Edwin Jarvis,Edwin Jarvis,Marvel,0,0,0,0
708,Jerry Jaxon,Jerry Jaxon,Marvel,0,0,0,0
709,Jazinda,Jazinda,Marvel,0,0,0,0
710,Jester,Jester (Marvel Comics),Marvel,0,1,0,1
711,Jetstream,Jetstream (comics),Marvel,0,0,0,0
712,Jigsaw,Jigsaw (Marvel Comics),Marvel,0,1,0,1
713,Jimmy-6,Jimmy-6,Marvel,0,0,0,0
714,Joan,Joan (comics),Marvel,0,0,0,0
715,Jocasta,Jocasta (comics),Marvel,0,0,0,0
716,John the Skrull,John the Skrull,Marvel,0,0,0,0
717,Johnny Dee,Johnny Dee,Marvel,0,1,0,1
718,Jolen,Jolen (comics),Marvel,0,1,1,0
719,Charlotte Jones,Charlotte Jones (comics),Marvel,0,0,0,0
720,Gabe Jones,Gabe Jones,Marvel,0,0,1,0
721,Hugh Jones,Hugh Jones (comics),Marvel,0,0,0,0
722,Jessica Jones,Jessica Jones,Marvel,1,0,1,0
723,Rick Jones,Rick Jones (comics),Marvel,0,0,0,0
724,Jubilee,Jubilee (comics),Marvel,1,0,1,0
725,Jude the Entropic Man,Jude the Entropic Man,Marvel,0,0,0,0
726,Juggernaut,Juggernaut (comics),Marvel,0,1,0,0
727,Junior Juniper,Junior Juniper,Marvel,0,0,0,0
728,Junta,Junta (comics),Marvel,0,0,0,0
729,Justice,Justice (New Universe),Marvel,0,1,1,0
730,Kaecilius,Kaecilius,Marvel,0,1,0,1
731,Elloe Kaifi,Elloe Kaifi,Marvel,0,0,0,0
732,Kala,Kala (comics),Marvel,0,0,0,0
733,Jennifer Kale,Jennifer Kale,Marvel,1,0,1,0
734,Noble Kale,Noble Kale,Marvel,0,0,0,0
735,Kaluu,Kaluu,Marvel,0,0,0,0
736,Kamikaze,Kamikaze (comics),Marvel,0,0,0,0
737,Garrison Kane,Garrison Kane,Marvel,0,0,0,0
738,Kang the Conqueror,Kang the Conqueror,Marvel,0,1,0,1
739,Kangaroo,Kangaroo (comics),Marvel,0,0,0,0
740,Karkas,Karkas (comics),Marvel,0,0,0,0
741,Karma,Karma (comics),Marvel,0,0,1,0
742,Karnak,Karnak (comics),Marvel,0,0,0,0
743,Karthon the Quester,Karthon the Quester,Marvel,0,0,0,0
744,Ka-Zar,Ka-Zar (David Rand)|Ka-Zar (Kevin Plunder),Marvel,0,0,0,0
745,Robert Kelly,Robert Kelly (comics),Marvel,0,0,0,0
746,Kestrel,Kestrel (Marvel Comics),Marvel,0,1,0,1
747,Kamala Khan,Kamala Khan,Marvel,0,0,0,0
748,Khonshu,Khonshu (Marvel Comics),Marvel,0,0,0,0
749,KIA,KIA (comics),Marvel,0,0,0,0
750,Kiber the Cruel,Kiber the Cruel,Marvel,0,0,0,0
751,Kid Cassidy,Kid Cassidy,Marvel,0,0,0,0
752,Kid Colt,Kid Colt,Marvel,0,1,1,0
753,Kid Kaiju,Kid Kaiju,Marvel,0,0,1,0
754,Kid Omega,Kid Omega,Marvel,0,0,0,0
755,Killer Shrike,Killer Shrike,Marvel,0,0,0,0
756,Aldrich Killian,Aldrich Killian,Marvel,0,1,0,1
757,Erik Killmonger,Erik Killmonger,Marvel,0,1,0,1
758,Killpower,Killpower,Marvel,0,0,0,0
759,Killraven,Killraven,Marvel,0,0,0,0
760,Kimura,Kimura (comics),Marvel,0,0,0,0
761,Kindred,Harry Osborn#Kindred,Marvel,0,0,0,0
762,Hannibal King,Hannibal King,Marvel,0,0,0,0
763,King Bedlam,King Bedlam,Marvel,0,0,0,1
764,Kingmaker,Kingmaker (comics),Marvel,0,0,0,0
765,Kingpin,Kingpin (comics),Marvel,0,1,0,1
766,Roderick Kingsley,Roderick Kingsley,Marvel,0,1,0,1
767,Kismet,Kismet (Marvel Comics),Marvel,0,0,0,0
768,Kiwi Black,Kiwi Black,Marvel,0,0,0,0
769,Klaatu,Klaatu (comics),Marvel,0,0,0,0
770,Klaw,Klaw (Marvel Comics),Marvel,0,1,0,1
771,Kleinstocks,Kleinstocks,Marvel,0,0,0,0
772,Misty Knight,Misty Knight,Marvel,1,0,1,0
773,Knull,Knull (comics),Marvel,0,0,0,0
774,Eric Koenig,Eric Koenig,Marvel,0,0,0,0
775,Komodo,Komodo (comics),Marvel,0,0,0,0
776,Korath the Pursuer,Korath the Pursuer,Marvel,0,0,0,0
777,Korg,Korg (comics),Marvel,0,0,0,0
778,Korrek,Korrek,Marvel,0,0,0,0
779,Korvac,Korvac,Marvel,0,0,0,0
780,Korvus,Korvus (comics),Marvel,0,0,0,0
781,Kraglin Obfonteri,Kraglin,Marvel,0,0,0,0
782,Kraken,Daniel Whitehall,Marvel,0,0,0,0
783,Krakoa,Krakoa,Marvel,0,0,0,0
784,Krang,Krang (Marvel Comics),Marvel,0,0,0,0
785,Kraven the Hunter,Kraven the Hunter,Marvel,0,1,0,1
786,Kro,Kro (comics),Marvel,0,0,0,0
787,Krystalin,Krystalin,Marvel,0,0,0,0
788,Kull,Kull (comics),Marvel,0,0,0,0
789,Kylun,Kylun,Marvel,0,0,0,0
790,La Lunatica,La Lunatica,Marvel,1,0,1,0
791,Lacuna,Lacuna (comics),Marvel,0,0,0,0
792,Lady Bullseye,Lady Bullseye,Marvel,1,0,0,1
793,Lady Deathstrike,Lady Deathstrike,Marvel,1,0,0,1
794,Lady Dorma,Lady Dorma,Marvel,1,0,0,1
795,Lady Grey,Lady Grey (comics),Marvel,0,0,0,0
796,Lady Lotus,Lady Lotus,Marvel,0,0,0,0
797,Lady Mastermind,Lady Mastermind,Marvel,1,0,0,1
798,Lady Octopus,Lady Octopus,Marvel,1,0,0,1
799,Lamprey,Lamprey (comics),Marvel,0,0,0,0
800,Steven Lang,Steven Lang (comics),Marvel,0,0,0,0
801,Laufey,Laufey (comics),Marvel,0,0,0,0
802,Morgan le Fay,Morgan le Fay (Marvel Comics),Marvel,1,0,0,1
803,Leader,Leader (comics),Marvel,0,1,0,1
804,Leech,Leech (comics),Marvel,0,1,1,0
805,Ned Leeds,Ned Leeds,Marvel,0,0,0,0
806,Left-Winger,Left-Winger (comics),Marvel,0,0,0,0
807,Prudence Leighton,Prudence Leighton,Marvel,0,0,0,0
808,Lei Kung,Lei Kung (comics),Marvel,0,0,0,0
809,Leir,Leir (Marvel Comics),Marvel,0,0,0,0
810,Harry Leland,Harry Leland,Marvel,0,1,0,1
811,Leo,Leo (comics),Marvel,0,1,0,1
812,Leper Queen,Leper Queen,Marvel,0,0,0,0
813,Letha,Letha (comics),Marvel,0,0,0,0
814,Libra,Libra (Marvel Comics),Marvel,0,0,0,0
815,Lifeform,Lifeform (comics),Marvel,0,0,0,0
816,Lifeguard,Lifeguard (comics),Marvel,0,0,0,0
817,Lightmaster,Lightmaster,Marvel,0,0,0,0
818,Tommy Lightning,Crusaders (Marvel Comics),Marvel,0,0,0,0
819,Lightspeed,Julie Power,Marvel,0,0,0,0
820,Lilith,Lilith (Marvel Comics),Marvel,0,0,0,0
821,Lionheart,Lionheart (comics),Marvel,0,0,0,0
822,Litterbug,Litterbug (comics),Marvel,0,0,0,0
823,Living Brain,Living Brain,Marvel,0,0,0,1
824,Living Laser,Living Laser,Marvel,0,0,0,0
825,Living Lightning,Living Lightning,Marvel,0,0,1,0
826,Living Monolith,Living Monolith,Marvel,0,0,0,0
827,Living Tribunal,Living Tribunal,Marvel,0,0,0,0
828,Lizard,Lizard (comics),Marvel,0,1,0,1
829,Llyra,Llyra,Marvel,0,0,0,0
830,Loa,Loa (comics),Marvel,0,0,0,0
831,Maximus Lobo,Maximus Lobo,Marvel,0,1,0,1
832,Lobo Brothers,Lobo Brothers,Marvel,0,0,0,0
833,Lockheed,Lockheed (comics),Marvel,0,0,0,0
834,Lockjaw,Lockjaw (comics),Marvel,0,0,0,0
835,Locus,Locus (comics),Marvel,0,0,0,1
836,Locust,Locust (comics),Marvel,0,0,0,0
837,Lodestone,Lodestone (comics),Marvel,0,0,0,0
838,Loki,Loki (Marvel Comics)|Loki (Marvel Cinematic Universe),Marvel,0,1,0,1
839,Raza Longknife,Raza Longknife,Marvel,0,0,0,0
840,Longshot,Longshot (Marvel Comics),Marvel,0,1,1,0
841,Lord Chaos,Lord Chaos (Marvel Comics),Marvel,0,0,0,0
842,Lord Dark Wind,Lord Dark Wind,Marvel,0,1,0,1
843,Lord Deathstrike,Hellfire Club (comics)#Hellfire Academy,Marvel,0,0,0,0
844,Andy Lorimer,Andy Lorimer,Marvel,0,0,0,0
845,Lorna the Jungle Girl,Lorna the Jungle Girl,Marvel,0,0,0,0
846,Lorelei,Lorelei (Mutate),Marvel,0,0,0,0
847,Nancy Lu,Nancy Lu,Marvel,0,0,0,0
848,Lucifer,Lucifer (Marvel Comics),Marvel,0,0,0,0
849,Lucy in the Sky,Karolina Dean,Marvel,1,0,1,0
850,Aleksander Lukin,Aleksander Lukin,Marvel,0,0,0,0
851,Willie Lumpkin,Willie Lumpkin,Marvel,0,0,0,0
852,Lunatik,Lunatik,Marvel,0,0,0,0
853,Lupo,Lupo (comics),Marvel,0,0,0,0
854,Lurking Unknown,Lurking Unknown,Marvel,0,0,0,0
855,Lyja,Lyja,Marvel,1,0,1,0
856,Gideon Mace,Gideon Mace,Marvel,0,0,0,0
857,Jason Macendale,Jason Macendale,Marvel,0,0,0,0
858,Mach-VI,Abner Jenkins,Marvel,0,1,0,1
859,Machete,Machete (comics),Marvel,0,0,0,0
860,Machine Man,Machine Man,Marvel,0,0,1,0
861,Machine Teen,Machine Teen,Marvel,0,0,0,0
862,Machinesmith,Machinesmith,Marvel,0,1,0,1
863,Al MacKenzie,Al MacKenzie,Marvel,0,1,1,0
864,Moira MacTaggart,Moira MacTaggart,Marvel,0,0,0,0
865,Mad Dog,Mad Dog (Marvel Comics),Marvel,0,1,0,1
866,Mad Dog Rassitano,Mad Dog Rassitano,Marvel,0,0,0,0
867,Mad Thinker,Mad Thinker,Marvel,0,0,0,0
868,Madame Hydra,Madame Hydra,Marvel,0,0,0,0
869,Madame Masque,Madame Masque,Marvel,1,0,0,1
870,Madame Menace,Sunset Bain,Marvel,0,0,0,0
871,Madame Web,Madame Web,Marvel,0,0,0,0
872,Madcap,Madcap (comics),Marvel,0,0,0,0
873,Madman,Madman (Marvel Comics),Marvel,0,1,0,1
874,Maelstrom,Maelstrom (comics),Marvel,0,0,0,0
875,Maestro,Maestro (comics),Marvel,0,0,0,0
876,Maggott,Maggott,Marvel,0,1,1,0
877,Magician,Magician (comics),Marvel,0,0,0,0
878,Magik,Magik (comics),Marvel,0,0,0,0
879,Magique,Magique,Marvel,0,0,0,0
880,Magma,Magma (Jonathan Darque),Marvel,0,0,0,0
881,Magneto,Magneto (Marvel Comics),Marvel,0,1,0,1
882,Magnir,Enchanters Three,Marvel,0,0,0,0
883,Mahkizmo,Mahkizmo,Marvel,0,0,0,0
884,Brett Mahoney,Brett Mahoney,Marvel,0,0,0,0
885,Mahr Vehl,Mahr Vehl,Marvel,0,0,0,0
886,Major Mapleleaf,Major Mapleleaf,Marvel,0,0,0,0
887,Maker,Maker (Reed Richards),Marvel,0,1,0,1
888,Makkari,Makkari (comics),Marvel,0,0,0,0
889,Malekith the Accursed,Malekith the Accursed,Marvel,0,1,0,1
890,Malice,Malice (comics),Marvel,0,0,0,0
